Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,31.987143,32.214287,31.902857,32.214287,21.647985,101425100
2010-03-12,32.481430,32.532856,32.250000,32.371429,21.753580,104080900
2010-03-15,32.197144,32.214287,31.464285,31.977142,21.488615,123375700
2010-03-16,32.025715,32.139999,31.787144,32.064285,21.547176,111727000
2010-03-17,32.128571,32.349998,31.895714,32.017143,21.515501,112739200
2010-03-18,32.014286,32.142857,31.801428,32.092857,21.566387,85527400
2010-03-19,32.112858,32.177143,31.604286,31.750000,21.335979,139861400
2010-03-22,31.495714,32.285713,31.450001,32.107143,21.575981,114104900
2010-03-23,32.234287,32.682858,32.014286,32.622856,21.922543,150607800
2010-03-24,32.520000,32.885715,32.501427,32.767143,22.019497,149445100
2010-03-25,32.988571,32.995716,32.321430,32.378571,21.758381,135571100
2010-03-26,32.707142,33.135715,32.650002,32.985714,22.166378,160218800
2010-03-29,33.285713,33.410000,33.088570,33.198570,22.309422,135186100
2010-03-30,33.799999,33.925713,33.464287,33.692856,22.641579,131827500
2010-03-31,33.641430,33.801430,33.494286,33.571430,22.559982,107664900
2010-04-01,33.915714,34.104286,33.250000,33.709999,22.653099,150786300

2010-05-28,37.055714,37.057144,36.192856,36.697144,24.660456,203903700
2010-06-01,37.098572,37.991428,36.994286,37.261429,25.039656,219118200
2010-06-02,37.791428,37.828571,37.189999,37.707142,25.339180,172137000
2010-06-03,37.882858,37.935715,37.201427,37.588570,25.259499,162526700
2010-06-04,36.887142,37.414288,36.375713,36.565716,24.572134,189576100
2010-06-07,36.898571,37.021427,35.792858,35.848572,24.090216,221735500
2010-06-08,36.177143,36.257141,35.092857,35.618572,23.935652,250192600
2010-06-09,35.924286,35.985714,34.641430,34.742859,23.347176,213657500
2010-06-10,34.977142,35.854286,34.599998,35.787144,24.048941,194089000
2010-06-11,35.461430,36.265713,35.338570,36.215714,24.336937,136439800
2010-06-14,36.565716,37.021427,36.287144,36.325714,24.410858,150740100
2010-06-15,36.520000,37.121429,36.500000,37.098572,24.930223,146268500
2010-06-16,37.299999,38.250000,37.232857,38.178570,25.655975,195919500
2010-06-17,38.657143,38.985714,38.500000,38.838570,26.099497,218213800
2010-06-18,38.892857,39.285713,38.774284,39.152859,26.310696,196155400
2010-06-21,39.669998,39.858570,38.389999,38.595715,25.936295,194122600
2010-06-22,38.880001,39.424286,38.785713,39.121429,26.289581,179315500
2010-06-23,39.225716,39.237144,38.271427,38.709999,26.013094,192114300
2010-06-24,38.714287,39.028572,38.299999,38.428570,25.823971,178569300
2010-06-25,38.580002,38.610001,37.972858,38.099998,25.603174,137485600
2010-06-28,38.132858,38.535713,37.788570,38.328571,25.756779,146237000
2010-06-29,37.731430,37.770000,36.328571,36.595715,24.592295,283336200
2010-06-30,36.672855,36.852856,35.715714,35.932858,24.146856,184863000
2010-07-01,36.328571,36.400002,34.745716,35.497143,23.854055,255724000
